day,predicted_price
1,503.65115
2,504.44107
3,505.549
4,506.868
5,508.32532
6,509.87247
7,511.47842
8,513.12354
9,514.79614
10,516.4892
11,518.1989
12,519.9233
13,521.6615
14,523.41345
15,525.1793
16,526.95953
17,528.7546
18,530.5652
19,532.3918
20,534.2349
21,536.0952
22,537.97314
23,539.86926
24,541.784
25,543.7178
26,545.67096
27,547.6438
28,549.63684
29,551.65027
30,553.68445
