day,predicted_price
1,878.738
2,875.5996
3,872.3544
4,869.018
5,865.6099
6,862.15125
7,858.6635
8,855.1729
9,851.7028
10,848.27606
11,844.91406
12,841.6362
13,838.4572
14,835.3923
15,832.45184
16,829.64453
17,826.9756
18,824.4484
19,822.06384
20,819.82025
21,817.7159
22,815.7484
23,813.91345
24,812.2038
25,810.61456
26,809.13965
27,807.77264
28,806.50586
29,805.33014
30,804.24176
