day,predicted_price
1,187.48106
2,187.16745
3,186.92444
4,186.72563
5,186.5543
6,186.40018
7,186.257
8,186.12126
9,185.9909
10,185.8648
11,185.74234
12,185.62315
13,185.50693
14,185.39346
15,185.28252
16,185.17383
17,185.06715
18,184.96223
19,184.85883
20,184.75664
21,184.65547
22,184.55508
23,184.45528
24,184.35588
25,184.25671
26,184.15765
27,184.05856
28,183.95937
29,183.85994
30,183.76024
